Activity_Label,Heart_Rate,Time
Standing_still,80.0,3
Standing_still,80.0,6
Standing_still,80.0,9
Standing_still,80.0,12
Standing_still,80.0,15
Standing_still,80.0,18
Standing_still,80.0,21
Standing_still,80.0,24
Standing_still,100.0,27
Standing_still,80.0,30
Standing_still,80.0,33
Standing_still,80.0,36
Standing_still,60.0,39
Standing_still,80.0,42
Standing_still,80.0,45
Standing_still,60.0,48
Standing_still,100.0,51
Standing_still,100.0,54
Standing_still,80.0,57
Standing_still,80.0,60
Sitting_and_relaxing,80.0,3
Sitting_and_relaxing,60.0,6
Sitting_and_relaxing,80.0,9
Sitting_and_relaxing,80.0,12
Sitting_and_relaxing,100.0,15
Sitting_and_relaxing,60.0,18
Sitting_and_relaxing,60.0,21
Sitting_and_relaxing,80.0,24
Sitting_and_relaxing,60.0,27
Sitting_and_relaxing,80.0,30
Sitting_and_relaxing,60.0,33
Sitting_and_relaxing,60.0,36
Sitting_and_relaxing,80.0,39
Sitting_and_relaxing,60.0,42
Sitting_and_relaxing,80.0,45
Sitting_and_relaxing,100.0,48
Sitting_and_relaxing,60.0,51
Sitting_and_relaxing,80.0,54
Sitting_and_relaxing,80.0,57
Sitting_and_relaxing,60.0,60
Lying_down,60.0,3
Lying_down,60.0,6
Lying_down,60.0,9
Lying_down,80.0,12
Lying_down,60.0,15
Lying_down,80.0,18
Lying_down,60.0,21
Lying_down,40.0,24
Lying_down,80.0,27
Lying_down,80.0,30
Lying_down,80.0,33
Lying_down,80.0,36
Lying_down,60.0,39
Lying_down,60.0,42
Lying_down,60.0,45
Lying_down,60.0,48
Lying_down,60.0,51
Lying_down,80.0,54
Lying_down,60.0,57
Lying_down,100.0,60
Walking,40.0,3
Walking,80.0,6
Walking,80.0,9
Walking,80.0,12
Walking,60.0,15
Walking,80.0,18
Walking,80.0,21
Walking,60.0,24
Walking,80.0,27
Walking,20.0,30
Walking,80.0,33
Walking,40.0,36
Walking,100.0,39
Walking,80.0,42
Walking,60.0,45
Walking,60.0,48
Walking,80.0,51
Walking,100.0,54
Walking,40.0,57
Walking,100.0,60
Climbing_stairs,120.0,3
Climbing_stairs,100.0,6
Climbing_stairs,120.0,9
Climbing_stairs,100.0,12
Climbing_stairs,100.0,15
Climbing_stairs,120.0,18
Climbing_stairs,100.0,21
Climbing_stairs,120.0,24
Climbing_stairs,100.0,27
Climbing_stairs,120.0,30
Climbing_stairs,100.0,33
Climbing_stairs,120.0,36
Climbing_stairs,140.0,39
Climbing_stairs,160.0,42
Climbing_stairs,140.0,45
Climbing_stairs,140.0,48
Climbing_stairs,140.0,51
Climbing_stairs,140.0,54
Climbing_stairs,180.0,57
Climbing_stairs,160.0,60
Waist_bends_forward,60.0,3
Waist_bends_forward,60.0,6
Waist_bends_forward,80.0,9
Waist_bends_forward,60.0,12
Waist_bends_forward,60.0,15
Waist_bends_forward,80.0,18
Waist_bends_forward,60.0,21
Waist_bends_forward,100.0,24
Waist_bends_forward,60.0,27
Waist_bends_forward,60.0,30
Waist_bends_forward,100.0,33
Waist_bends_forward,80.0,36
Waist_bends_forward,80.0,39
Waist_bends_forward,80.0,42
Waist_bends_forward,60.0,45
Waist_bends_forward,100.0,48
Waist_bends_forward,60.0,51
Waist_bends_forward,20.0,54
Frontal_elevation_of_arms,40.0,3
Frontal_elevation_of_arms,40.0,6
Frontal_elevation_of_arms,80.0,9
Frontal_elevation_of_arms,40.0,12
Frontal_elevation_of_arms,60.0,15
Frontal_elevation_of_arms,80.0,18
Frontal_elevation_of_arms,60.0,21
Frontal_elevation_of_arms,60.0,24
Frontal_elevation_of_arms,60.0,27
Frontal_elevation_of_arms,60.0,30
Frontal_elevation_of_arms,80.0,33
Frontal_elevation_of_arms,20.0,36
Frontal_elevation_of_arms,20.0,39
Frontal_elevation_of_arms,120.0,42
Frontal_elevation_of_arms,40.0,45
Frontal_elevation_of_arms,40.0,48
Frontal_elevation_of_arms,40.0,51
Frontal_elevation_of_arms,60.0,54
Frontal_elevation_of_arms,40.0,57
Knees_bending,60.0,3
Knees_bending,60.0,6
Knees_bending,40.0,9
Knees_bending,80.0,12
Knees_bending,60.0,15
Knees_bending,40.0,18
Knees_bending,100.0,21
Knees_bending,100.0,24
Knees_bending,100.0,27
Knees_bending,100.0,30
Knees_bending,60.0,33
Knees_bending,100.0,36
Knees_bending,120.0,39
Knees_bending,80.0,42
Knees_bending,140.0,45
Knees_bending,100.0,48
Knees_bending,120.0,51
Knees_bending,100.0,54
Cycling,120.0,3
Cycling,80.0,6
Cycling,120.0,9
Cycling,100.0,12
Cycling,100.0,15
Cycling,120.0,18
Cycling,80.0,21
Cycling,100.0,24
Cycling,80.0,27
Cycling,80.0,30
Cycling,120.0,33
Cycling,80.0,36
Cycling,80.0,39
Cycling,40.0,42
Cycling,80.0,45
Cycling,80.0,48
Cycling,100.0,51
Cycling,80.0,54
Cycling,80.0,57
Cycling,100.0,60
Jogging,0.0,3
Jogging,60.0,6
Jogging,0.0,9
Jogging,40.0,12
Jogging,0.0,15
Jogging,20.0,18
Jogging,20.0,21
Jogging,0.0,24
Jogging,20.0,27
Jogging,0.0,30
Jogging,40.0,33
Jogging,60.0,36
Jogging,40.0,39
Jogging,40.0,42
Jogging,0.0,45
Jogging,20.0,48
Jogging,40.0,51
Jogging,0.0,54
Jogging,0.0,57
Jogging,20.0,60
Running,60.0,3
Running,60.0,6
Running,20.0,9
Running,60.0,12
Running,0.0,15
Running,40.0,18
Running,0.0,21
Running,0.0,24
Running,40.0,27
Running,60.0,30
Running,40.0,33
Running,20.0,36
Running,20.0,39
Running,40.0,42
Running,60.0,45
Running,40.0,48
Running,80.0,51
Running,60.0,54
Running,60.0,57
Running,40.0,60
Jump_front_and_back,180.0,3
Jump_front_and_back,120.0,6
Jump_front_and_back,200.0,9
Jump_front_and_back,260.0,12
Jump_front_and_back,240.0,15
Jump_front_and_back,160.0,18
